6,1
16903,1
9740,1
3599,1
15387,1
29,1
18977,1
10275,1
9254,1
10283,1
2608,1
11314,1
10802,1
12346,1
3647,1
7747,1
12871,1
17494,1
10330,1
5217,1
14434,1
4196,1
18027,1
18552,1
3705,1
10363,1
18559,1
18567,1
12941,1
12942,1
16534,1
12951,1
12953,1
10915,1
19118,1
2225,1
1716,1
181,1
19638,1
16573,1
2239,1
9408,1
12996,1
6341,1
12997,1
13001,1
3274,1
14026,1
3791,1
15057,1
9430,1
18648,1
15577,1
16605,1
4318,1
13540,1
3308,1
15598,1
7920,1
13041,1
9458,1
13555,1
18173,1
16641,1
10504,1
12045,1
9494,1
12055,1
16151,1
10527,1
16671,1
4902,1
11064,1
1851,1
15683,1
4933,1
11081,1
11082,1
13150,1
14180,1
5480,1
5481,1
8040,1
7532,1
8048,1
4980,1
2424,1
16761,1
5500,1
4989,1
12161,1
3975,1
6023,1
10636,1
5005,1
19852,1
4496,1
9616,1
7058,1
16276,1
1946,1
13211,1
4517,1
14758,1
16805,1
8108,1
9650,1
10165,1
439,1
3512,1
17853,1
12222,1
4031,1
448,1
13760,1
18880,1
15299,1
9167,1
4562,1
13779,1
1497,1
9691,1
4064,1
13282,1
11240,1
8685,1
9200,1
18416,1
4089,1
3069,1
